Statistical profiling result from clg_off-v8.log, (25285 ticks, 31 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      5    0.0%    0.1%  LazyCompile: *clearBuffer node:internal/streams/writable:531:21
      5    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/engine.io/build/server.js:479:30
      5    0.0%    0.1%  Function: ^deserializeObject /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/bson/lib/parser/deserializer.js:65:27
      4    0.0%    0.1%  RegExp: ^\/login-error\/?$
      4    0.0%    0.1%  RegExp: ^\/?$
      4    0.0%    0.1%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      4    0.0%    0.1%  RegExp: [^\t\x20-\x7e\x80-\xff]
      4    0.0%    0.1%  LazyCompile: *writeHead /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/on-headers/index.js:28:29
      4    0.0%    0.1%  LazyCompile: *wrapper /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/internal/wrapHelper.js:12:33
      4    0.0%    0.1%  LazyCompile: *slowCases node:internal/util:165:19
      4    0.0%    0.1%  LazyCompile: *readableAddChunk node:internal/streams/readable:236:26
      4    0.0%    0.1%  LazyCompile: *query /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/middleware/query.js:39:24
      4    0.0%    0.1%  LazyCompile: *escapeExpression /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/utils.js:77:26
      4    0.0%    0.1%  LazyCompile: *emitCloseNT node:internal/streams/destroy:126:21
      4    0.0%    0.1%  LazyCompile: *digest node:internal/crypto/hash:119:40
      4    0.0%    0.1%  LazyCompile: *append /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/vary/index.js:38:17
      4    0.0%    0.1%  LazyCompile: *_getTemplateName /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-handlebars/lib/express-handlebars.js:322:19
      4    0.0%    0.1%  LazyCompile: *OutgoingMessage node:_http_outgoing:99:25
      4    0.0%    0.1%  Function: ^emitReadable_ node:internal/streams/readable:574:23
      4    0.0%    0.1%  Function: ^append node:internal/linkedlist:30:16
      3    0.0%    0.0%  RegExp: ^\s*([^;\s]*)(?:;|\s|$)
      3    0.0%    0.0%  RegExp: ^\/socket\.io/socket\.io(\.msgpack|\.esm)?(\.min)?\.js(\.map)?(?:\?|$)
      3    0.0%    0.0%  RegExp: ^[!#$%&'*+\-.^_`|~0-9A-Za-z]+$
      3    0.0%    0.0%  RegExp: [\u0000-\u001f\u0022\u005c\ud800-\udfff]|[\ud800-\udbff](?![\udc00-\udfff])|(?:[^\ud800-\udbff]|^)[\udc00-\udfff]
      3    0.0%    0.0%  RegExp: =+$
      3    0.0%    0.0%  RegExp: ;\s*charset\s*=
      3    0.0%    0.0%  RegExp: ; *([!#$%&'*+.^_`|~0-9A-Za-z-]+) *= *("(?:[\u000b\u0020\u0021\u0023-\u005b\u005d-\u007e\u0080-\u00ff]|\\[\u000b\u0020-\u00ff])*"|[!#$%&'*+.^_`|~0-9A-Za-z-]+) *
