Statistical profiling result from clg_on-v8.log, (42222 ticks, 50 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      6    0.0%    0.1%  LazyCompile: *_getTemplateName /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-handlebars/lib/express-handlebars.js:322:19
      6    0.0%    0.1%  LazyCompile: *Readable.resume node:internal/streams/readable:963:37
      6    0.0%    0.1%  LazyCompile: *Readable.read /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/readable-stream/lib/_stream_readable.js:392:36
      6    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/logform/json.js:26:25
      6    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/engine.io/build/server.js:479:30
      6    0.0%    0.1%  Function: ^processTimers node:internal/timers:487:25
      5    0.0%    0.0%  RegExp: =+$
      5    0.0%    0.0%  RegExp: ;\s*charset\s*=
      5    0.0%    0.0%  LazyCompile: *toString node:buffer:790:46
      5    0.0%    0.0%  LazyCompile: *setWriteHeadHeaders /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/on-headers/index.js:105:30
      5    0.0%    0.0%  LazyCompile: *remove node:internal/linkedlist:16:16
      5    0.0%    0.0%  LazyCompile: *readableAddChunk /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/readable-stream/lib/_stream_readable.js:249:26
      5    0.0%    0.0%  LazyCompile: *processImmediate node:internal/timers:421:28
      5    0.0%    0.0%  LazyCompile: *passLookupPropertyOption /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/runtime.js:366:34
      5    0.0%    0.0%  LazyCompile: *maybeReadMore_ /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/readable-stream/lib/_stream_readable.js:565:24
      5    0.0%    0.0%  LazyCompile: *log node:internal/console/constructor:375:6
      5    0.0%    0.0%  LazyCompile: *clearBuffer node:internal/streams/writable:531:21
      5    0.0%    0.0%  LazyCompile: *append /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/vary/index.js:38:17
      5    0.0%    0.0%  LazyCompile: *_flushOutput node:_http_outgoing:1030:63
      5    0.0%    0.0%  LazyCompile: *_destroy node:_http_incoming:221:55
      5    0.0%    0.0%  LazyCompile: *Timeout node:internal/timers:167:17
      5    0.0%    0.0%  LazyCompile: *Mime.lookup /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/mime/mime.js:69:33
      5    0.0%    0.0%  LazyCompile: *<anonymous> node:internal/console/constructor:355:10
      5    0.0%    0.0%  Function: ^query /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/middleware/query.js:39:24
      5    0.0%    0.0%  Function: ^jsonParser /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/body-parser/lib/types/json.js:98:30
      5    0.0%    0.0%  Function: ^isEncoding node:buffer:535:40
      4    0.0%    0.0%  RegExp: ^xterm-256
      4    0.0%    0.0%  RegExp: ^\/?$ {1}
      4    0.0%    0.0%  RegExp: ^\/?$
      4    0.0%    0.0%  LazyCompile: *validateString node:internal/validators:119:24
      4    0.0%    0.0%  LazyCompile: *setHeader node:_http_outgoing:601:57
      4    0.0%    0.0%  LazyCompile: *resume_ node:internal/streams/readable:984:17
      4    0.0%    0.0%  LazyCompile: *randomBytes node:internal/crypto/random:93:21
      4    0.0%    0.0%  LazyCompile: *query /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/middleware/query.js:39:24
      4    0.0%    0.0%  LazyCompile: *onwrite /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/readable-stream/lib/_stream_writable.js:444:17
      4    0.0%    0.0%  LazyCompile: *noop node:internal/util/debuglog:47:14
      4    0.0%    0.0%  LazyCompile: *get node:internal/streams/writable:791:8
      4    0.0%    0.0%  LazyCompile: *extname node:path:1385:10
      4    0.0%    0.0%  LazyCompile: *debug /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/debug/src/debug.js:65:17
      4    0.0%    0.0%  LazyCompile: *_send node:_http_outgoing:329:49
      4    0.0%    0.0%  LazyCompile: *_handles_method /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/router/route.js:58:59
      4    0.0%    0.0%  LazyCompile: *ReadableState node:internal/streams/readable:78:23
      4    0.0%    0.0%  Function: ^unenroll node:timers:78:18
      4    0.0%    0.0%  Function: ^send /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/response.js:111:25
      4    0.0%    0.0%  Function: ^randomBytes node:internal/crypto/random:93:21
      4    0.0%    0.0%  Function: ^onFinish node:_http_outgoing:907:18
      4    0.0%    0.0%  Function: ^handleWriteReq node:internal/stream_base_commons:45:24
      4    0.0%    0.0%  Function: ^format /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/content-type/index.js:65:17
      4    0.0%    0.0%  Function: ^allocate node:buffer:403:18
      4    0.0%    0.0%  Function: ^Socket.resume node:net:691:35
      3    0.0%    0.0%  RegExp: ^\/login-error\/?$
      3    0.0%    0.0%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      3    0.0%    0.0%  RegExp: ^.*[\.\/\\]
      3    0.0%    0.0%  LazyCompile: *validateNumber node:internal/validators:124:24
      3    0.0%    0.0%  LazyCompile: *toString /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/uid-safe/index.js:102:19
      3    0.0%    0.0%  LazyCompile: *slowCases node:internal/util:165:19
      3    0.0%    0.0%  LazyCompile: *router /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/router/index.js:46:18
      3    0.0%    0.0%  LazyCompile: *getEncodingPriority /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/negotiator/lib/encoding.js:98:29
      3    0.0%    0.0%  LazyCompile: *fromStringFast node:buffer:418:24
      3    0.0%    0.0%  LazyCompile: *dispatch /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/router/route.js:98:45
      3    0.0%    0.0%  LazyCompile: *Session /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-session/session/session.js:24:17
      3    0.0%    0.0%  LazyCompile: *Readable.removeListener node:internal/streams/readable:904:45
      3    0.0%    0.0%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:640:37
      3    0.0%    0.0%  LazyCompile: *Cookie /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-session/session/cookie.js:25:46
      3    0.0%    0.0%  Function: ^stringify /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/safe-stable-stringify/index.js:649:22
      3    0.0%    0.0%  Function: ^shouldSetCookie /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-session/index.js:464:29
      3    0.0%    0.0%  Function: ^readableAddChunk node:internal/streams/readable:236:26
      3    0.0%    0.0%  Function: ^preferredEncodings /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/negotiator/lib/encoding.js:138:28
      3    0.0%    0.0%  Function: ^onParserExecuteCommon node:_http_server:719:31
      3    0.0%    0.0%  Function: ^isModified /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-session/index.js:425:24
      3    0.0%    0.0%  Function: ^initialize /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/passport/lib/middleware/initialize.js:51:29
      3    0.0%    0.0%  Function: ^header /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/response.js:777:29
      3    0.0%    0.0%  Function: ^formatValue node:internal/util/inspect:750:21
      3    0.0%    0.0%  Function: ^expressInit /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/middleware/init.js:29:30
      3    0.0%    0.0%  Function: ^compileFunction node:vm:316:25
      3    0.0%    0.0%  Function: ^clearBuffer node:internal/streams/writable:531:21
      3    0.0%    0.0%  Function: ^afterWriteDispatched node:internal/stream_base_commons:155:30
      3    0.0%    0.0%  Function: ^Transform._read /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/readable-stream/lib/_stream_transform.js:171:38
      3    0.0%    0.0%  Function: ^Mime.lookup /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/mime/mime.js:69:33
      3    0.0%    0.0%  Function: ^<anonymous> file:///mnt/c/Users/Marco%20Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/src/routes/info.routes.js:11:30
      3    0.0%    0.0%  Function: ^<anonymous> /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/socket.io/dist/index.js:290:27
      3    0.0%    0.0%  Function: ^<anonymous> /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/request.js:467:36
      2    0.0%    0.0%  RegExp: ^\/socket\.io/socket\.io(\.msgpack|\.esm)?(\.min)?\.js(\.map)?(?:\?|$)
      2    0.0%    0.0%  RegExp: ^\/register\/?(?=\/|$)
